"","itemid","test_name","fluid","category"
"124",50485,"CD20","BONE MARROW","HEMATOLOGY"
"125",50487,"CD3","BONE MARROW","HEMATOLOGY"
"126",50489,"CD34","BONE MARROW","HEMATOLOGY"
"127",50492,"CD45","BONE MARROW","HEMATOLOGY"
"128",50494,"CD55","BONE MARROW","HEMATOLOGY"
"129",50495,"CD56","BONE MARROW","HEMATOLOGY"
"130",50498,"CD7","BONE MARROW","HEMATOLOGY"
"131",50499,"CD71","BONE MARROW","HEMATOLOGY"
"132",50501,"FMC-7","BONE MARROW","HEMATOLOGY"
"133",50503,"HLA-DR","BONE MARROW","HEMATOLOGY"
"134",50504,"IPT","BONE MARROW","HEMATOLOGY"
"135",50506,"KAPPA","BONE MARROW","HEMATOLOGY"
"136",50507,"LAMBDA","BONE MARROW","HEMATOLOGY"
"137",50509,"ATYPS","CSF","HEMATOLOGY"
"138",50513,"EOS","CSF","HEMATOLOGY"
"139",50517,"MACROPHAG","CSF","HEMATOLOGY"
"140",50521,"MYELOS","CSF","HEMATOLOGY"
"141",50523,"OTHER","CSF","HEMATOLOGY"
"142",50526,"RBC","CSF","HEMATOLOGY"
"143",50528,"YOUNG","CSF","HEMATOLOGY"
"144",50530,"BANDS","JOINT FLUID","HEMATOLOGY"
"145",50532,"BIREFRI","JOINT FLUID","HEMATOLOGY"
"146",50535,"HCT","JOINT FLUID","HEMATOLOGY"
"147",50536,"LOCATION","JOINT FLUID","HEMATOLOGY"
"148",50537,"LYMPHS","JOINT FLUID","HEMATOLOGY"
"149",50540,"METAS","JOINT FLUID","HEMATOLOGY"
"150",50541,"MONOS","JOINT FLUID","HEMATOLOGY"
"151",50543,"NUMBER","JOINT FLUID","HEMATOLOGY"
"152",50544,"OTHER","JOINT FLUID","HEMATOLOGY"
"153",50546,"RBC","JOINT FLUID","HEMATOLOGY"
"154",50547,"SHAPE","JOINT FLUID","HEMATOLOGY"
"155",50549,"ATYPS","OTHER BODY FLUID","HEMATOLOGY"
"156",50552,"CD10","OTHER BODY FLUID","HEMATOLOGY"
"157",50554,"CD11C","OTHER BODY FLUID","HEMATOLOGY"
"158",50556,"CD138","OTHER BODY FLUID","HEMATOLOGY"
"159",50559,"CD16/56","OTHER BODY FLUID","HEMATOLOGY"
"160",50561,"CD2","OTHER BODY FLUID","HEMATOLOGY"
"161",50564,"CD23","OTHER BODY FLUID","HEMATOLOGY"
"162",50566,"CD33","OTHER BODY FLUID","HEMATOLOGY"
"163",50567,"CD34","OTHER BODY FLUID","HEMATOLOGY"
"164",50569,"CD4","OTHER BODY FLUID","HEMATOLOGY"
"165",50572,"CD45","OTHER BODY FLUID","HEMATOLOGY"
"166",50574,"CD56","OTHER BODY FLUID","HEMATOLOGY"
"167",50576,"CD7","OTHER BODY FLUID","HEMATOLOGY"
"168",50579,"EOS","OTHER BODY FLUID","HEMATOLOGY"
"169",50581,"GLYCO A ","OTHER BODY FLUID","HEMATOLOGY"
"170",50584,"IPT","OTHER BODY FLUID","HEMATOLOGY"
"171",50585,"KAPPA","OTHER BODY FLUID","HEMATOLOGY"
"172",50586,"LAMBDA","OTHER BODY FLUID","HEMATOLOGY"
"173",50587,"LYMPHS","OTHER BODY FLUID","HEMATOLOGY"
"174",50687,"MS-AFP","BLOOD","CHEMISTRY"
"175",50589,"MESOTHELI","OTHER BODY FLUID","HEMATOLOGY"
"176",50592,"MYELOS","OTHER BODY FLUID","HEMATOLOGY"
"177",50593,"NUC RBCS","OTHER BODY FLUID","HEMATOLOGY"
"178",50594,"OTHER","OTHER BODY FLUID","HEMATOLOGY"
"179",50597,"PROMYELO","OTHER BODY FLUID","HEMATOLOGY"
"180",50599,"WBC","OTHER BODY FLUID","HEMATOLOGY"
"181",50601,"BANDS","PLEURAL","HEMATOLOGY"
"182",50602,"BASOS","PLEURAL","HEMATOLOGY"
"183",50604,"HCT","PLEURAL","HEMATOLOGY"
"184",50607,"MESOTHELI","PLEURAL","HEMATOLOGY"
"185",50608,"METAS","PLEURAL","HEMATOLOGY"
"186",50610,"MYELOS","PLEURAL","HEMATOLOGY"
"187",50611,"NUC RBCS","PLEURAL","HEMATOLOGY"
"188",50612,"OTHER","PLEURAL","HEMATOLOGY"
"189",50614,"POLYS","PLEURAL","HEMATOLOGY"
"190",50615,"PROMYELO","PLEURAL","HEMATOLOGY"
"191",50618,"YOUNG","PLEURAL","HEMATOLOGY"
"192",50621,"AM BIUR","URINE","HEMATOLOGY"
"193",50623,"APPEAR","URINE","HEMATOLOGY"
"194",50624,"BACTERIA","URINE","HEMATOLOGY"
"195",50625,"BILICRYST","URINE","HEMATOLOGY"
"196",50626,"BILIRUBIN","URINE","HEMATOLOGY"
"197",50627,"BLOOD","URINE","HEMATOLOGY"
"198",50628,"BROAD","URINE","HEMATOLOGY"
"199",50629,"CA CARB","URINE","HEMATOLOGY"
"200",50630,"CA OXAL","URINE","HEMATOLOGY"
"201",50631,"CA PHOS","URINE","HEMATOLOGY"
"202",50632,"CELL","URINE","HEMATOLOGY"
"203",50633,"COLOR","URINE","HEMATOLOGY"
"204",50635,"CYSTEINE","URINE","HEMATOLOGY"
"205",50636,"EOS","URINE","HEMATOLOGY"
"206",50637,"EPI","URINE","HEMATOLOGY"
"207",50638,"FAT","URINE","HEMATOLOGY"
"208",50639,"FATTY","URINE","HEMATOLOGY"
"209",50640,"FR FAT","URINE","HEMATOLOGY"
"210",50641,"GLUCOSE","URINE","HEMATOLOGY"
"211",50642,"GRANULAR","URINE","HEMATOLOGY"
"212",50643,"HCT","URINE","HEMATOLOGY"
"213",50644,"HEMOSID","URINE","HEMATOLOGY"
"214",50645,"HYALINE","URINE","HEMATOLOGY"
"215",50646,"HYYEAST","URINE","HEMATOLOGY"
"216",50647,"KETONE","URINE","HEMATOLOGY"
"217",50648,"LEUK","URINE","HEMATOLOGY"
"218",50649,"MUCOUS","URINE","HEMATOLOGY"
"219",50650,"NITRITE","URINE","HEMATOLOGY"
"220",50651,"NONSQ EPI","URINE","HEMATOLOGY"
"221",50652,"NSQ EPI","URINE","HEMATOLOGY"
"222",50653,"PH","URINE","HEMATOLOGY"
"223",50655,"PROTEIN","URINE","HEMATOLOGY"
"224",50656,"RBC","URINE","HEMATOLOGY"
"225",50657,"RBCCAST","URINE","HEMATOLOGY"
"226",50658,"RBCCLUM","URINE","HEMATOLOGY"
"227",50659,"RENAL EPI","URINE","HEMATOLOGY"
"228",50660,"Red Sub","URINE","HEMATOLOGY"
"229",50661,"SP GRAV","URINE","HEMATOLOGY"
"230",50662,"SPERM","URINE","HEMATOLOGY"
"231",50663,"SULF","URINE","HEMATOLOGY"
"232",50664,"TRANS EPI","URINE","HEMATOLOGY"
"233",50665,"TRICH","URINE","HEMATOLOGY"
"234",50666,"TYPE","URINE","HEMATOLOGY"
"235",50667,"TYROSINE","URINE","HEMATOLOGY"
"236",50668,"UNKCAST","URINE","HEMATOLOGY"
"237",50669,"UNKCRYST","URINE","HEMATOLOGY"
"238",50670,"URIC ACID","URINE","HEMATOLOGY"
"239",50671,"UROBILNGN","URINE","HEMATOLOGY"
"240",50673,"WAXY","URINE","HEMATOLOGY"
"241",50674,"WBC","URINE","HEMATOLOGY"
"242",50675,"WBCCAST","URINE","HEMATOLOGY"
"243",50676,"WBCCLUMP","URINE","HEMATOLOGY"
"244",50677,"YEAST","URINE","HEMATOLOGY"
"245",50678,"BLUE FROZ","BLOOD","CHEMISTRY"
"246",50679,"Billed","BLOOD","CHEMISTRY"
"247",50025,"TOTAL CO2","BLOOD","BLOOD GAS"
"248",50029,"calcHCT","BLOOD","BLOOD GAS"
"249",50031,"FLUID","OTHER BODY FLUID","BLOOD GAS"
"250",50683,"FRUCAMN+","BLOOD","CHEMISTRY"
"251",50684,"H","BLOOD","CHEMISTRY"
"252",50685,"I","BLOOD","CHEMISTRY"
"253",50686,"LTGRN HLD","BLOOD","CHEMISTRY"
"254",50688,"MS-DIA","BLOOD","CHEMISTRY"
"255",50689,"MS-HCG","BLOOD","CHEMISTRY"
"256",50690,"MS-UE3","BLOOD","CHEMISTRY"
"257",50691,"MacrPRL","BLOOD","CHEMISTRY"
"258",50033,"NA+","OTHER BODY FLUID","BLOOD GAS"
"259",50693,"PROS FX","BLOOD","CHEMISTRY"
"260",50034,"PCO2","OTHER BODY FLUID","BLOOD GAS"
"261",50695,"STDY HOLD","BLOOD","CHEMISTRY"
"262",50696,"antiDGP","BLOOD","CHEMISTRY"
"263",50697,"eAG","BLOOD","CHEMISTRY"
"264",50698,"mthotrx","BLOOD","CHEMISTRY"
"265",50699,"tacroFK","BLOOD","CHEMISTRY"
"266",50700,"AF-AFP","OTHER BODY FLUID","CHEMISTRY"
"267",50701,"FETALFN","OTHER BODY FLUID","CHEMISTRY"
"268",50702,"LIPASE","PLEURAL","CHEMISTRY"
"269",50703,"STDYURINE","URINE","CHEMISTRY"
"270",50704,"PROMYELO","ASCITES","HEMATOLOGY"
"271",50705,"YOUNG","ASCITES","HEMATOLOGY"
"272",50706,"CD103","BLOOD","HEMATOLOGY"
"273",50707,"CD25","BLOOD","HEMATOLOGY"
"274",50708,"CD57","BLOOD","HEMATOLOGY"
"275",50709,"I-HOS","BLOOD","HEMATOLOGY"
"276",50710,"LUC","BLOOD","HEMATOLOGY"
"277",50711,"PLASMGN","BLOOD","HEMATOLOGY"
"278",50036,"PO2","OTHER BODY FLUID","BLOOD GAS"
"279",50713,"REPT CTL","BLOOD","HEMATOLOGY"
"280",50714,"TDT","BLOOD","HEMATOLOGY"
"281",50715,"WBCP","BLOOD","HEMATOLOGY"
"282",50716,"CD138","BONE MARROW","HEMATOLOGY"
"283",50717,"CD22","BONE MARROW","HEMATOLOGY"
"284",50718,"CD25","BONE MARROW","HEMATOLOGY"
"285",50719,"CD38","BONE MARROW","HEMATOLOGY"
"286",50720,"CD57","BONE MARROW","HEMATOLOGY"
"287",50721,"IPT","CSF","HEMATOLOGY"
"288",50722,"PROMYELO","CSF","HEMATOLOGY"
"289",50723,"MYELOS","JOINT FLUID","HEMATOLOGY"
"290",50724,"CD103","OTHER BODY FLUID","HEMATOLOGY"
"291",50725,"CD16","OTHER BODY FLUID","HEMATOLOGY"
"292",50726,"CD25","OTHER BODY FLUID","HEMATOLOGY"
"293",50727,"CD55","OTHER BODY FLUID","HEMATOLOGY"
"294",50728,"CD57","OTHER BODY FLUID","HEMATOLOGY"
"295",50729,"CD59","OTHER BODY FLUID","HEMATOLOGY"
"296",50730,"TDT","OTHER BODY FLUID","HEMATOLOGY"
"297",50731,"BLASTS","PLEURAL","HEMATOLOGY"
"298",50732,"CHOLEST","URINE","HEMATOLOGY"
"299",50733,"EPICAST","URINE","HEMATOLOGY"
"300",50734,"LEUCINE","URINE","HEMATOLOGY"
"301",50735,"OVALFAT","URINE","HEMATOLOGY"
"302",50038,"AMYLASE","ASCITES","CHEMISTRY"
"303",50370,"D-DIMER","BLOOD","HEMATOLOGY"
"304",50039,"CHLORIDE","ASCITES","CHEMISTRY"
"305",50041,"CO2","ASCITES","CHEMISTRY"
"306",50042,"CREAT","ASCITES","CHEMISTRY"
"307",50044,"LD(LDH)","ASCITES","CHEMISTRY"
"308",50045,"LIPASE","ASCITES","CHEMISTRY"
"309",50048,"POTASSIUM","ASCITES","CHEMISTRY"
"310",50050,"TOT BILI","ASCITES","CHEMISTRY"
"311",50051,"TOT PROT","ASCITES","CHEMISTRY"
"312",50052,"TRIGLYCER","ASCITES","CHEMISTRY"
"313",50054,"%HbA1c","BLOOD","CHEMISTRY"
"314",50055,"%phenyfr","BLOOD","CHEMISTRY"
"315",50057,"ACETONE","BLOOD","CHEMISTRY"
"316",50058,"ACID PHOS","BLOOD","CHEMISTRY"
"317",50060,"ALBUMIN","BLOOD","CHEMISTRY"
"318",50061,"ALK PHOS","BLOOD","CHEMISTRY"
"319",50062,"ALT(SGPT)","BLOOD","CHEMISTRY"
"320",50064,"AMMONIA","BLOOD","CHEMISTRY"
"321",50065,"AMYLASE","BLOOD","CHEMISTRY"
"322",50067,"ANCA","BLOOD","CHEMISTRY"
"323",50069,"ANTI-MC","BLOOD","CHEMISTRY"
"324",50071,"ANTITPO","BLOOD","CHEMISTRY"
"325",50072,"ASA","BLOOD","CHEMISTRY"
"326",50073,"AST(SGOT)","BLOOD","CHEMISTRY"
"327",50076,"C4","BLOOD","CHEMISTRY"
"328",50077,"CA125","BLOOD","CHEMISTRY"
"329",50079,"CALCIUM","BLOOD","CHEMISTRY"
"330",50081,"CARBAMZPN","BLOOD","CHEMISTRY"
"331",50082,"CEA","BLOOD","CHEMISTRY"
"332",50084,"CHOL/HDL","BLOOD","CHEMISTRY"
"333",50086,"CK(CPK)","BLOOD","CHEMISTRY"
"334",50087,"CK-MB","BLOOD","CHEMISTRY"
"335",50088,"CNTROMR","BLOOD","CHEMISTRY"
"336",50090,"CREAT","BLOOD","CHEMISTRY"
"337",50092,"CRYO","BLOOD","CHEMISTRY"
"338",50094,"DHEA-SO4","BLOOD","CHEMISTRY"
"339",50095,"DIGOXIN","BLOOD","CHEMISTRY"
"340",50098,"ESTRADL","BLOOD","CHEMISTRY"
"341",50558,"CD15","OTHER BODY FLUID","HEMATOLOGY"
"342",50560,"CD19","OTHER BODY FLUID","HEMATOLOGY"
"343",50562,"CD20","OTHER BODY FLUID","HEMATOLOGY"
"344",50563,"CD22","OTHER BODY FLUID","HEMATOLOGY"
"345",50565,"CD3","OTHER BODY FLUID","HEMATOLOGY"
"346",50568,"CD38","OTHER BODY FLUID","HEMATOLOGY"
"347",50570,"CD4/CD8","OTHER BODY FLUID","HEMATOLOGY"
"348",50571,"CD41","OTHER BODY FLUID","HEMATOLOGY"
"349",50573,"CD5","OTHER BODY FLUID","HEMATOLOGY"
"350",50575,"CD64","OTHER BODY FLUID","HEMATOLOGY"
"351",50577,"CD71","OTHER BODY FLUID","HEMATOLOGY"
"352",50578,"CD8","OTHER BODY FLUID","HEMATOLOGY"
"353",50580,"FMC-7","OTHER BODY FLUID","HEMATOLOGY"
"354",50582,"HCT","OTHER BODY FLUID","HEMATOLOGY"
"355",50583,"HLA-DR","OTHER BODY FLUID","HEMATOLOGY"
"356",50588,"MACROPHAG","OTHER BODY FLUID","HEMATOLOGY"
"357",50590,"METAS","OTHER BODY FLUID","HEMATOLOGY"
"358",50591,"MONOS","OTHER BODY FLUID","HEMATOLOGY"
"359",50595,"PLASMA","OTHER BODY FLUID","HEMATOLOGY"
"360",50596,"POLYS","OTHER BODY FLUID","HEMATOLOGY"
"361",50598,"RBC","OTHER BODY FLUID","HEMATOLOGY"
"362",50600,"ATYPS","PLEURAL","HEMATOLOGY"
"363",50603,"EOS","PLEURAL","HEMATOLOGY"
"364",50605,"LYMPHS","PLEURAL","HEMATOLOGY"
"365",50606,"MACROPHAG","PLEURAL","HEMATOLOGY"
"366",50609,"MONOS","PLEURAL","HEMATOLOGY"
"367",50613,"PLASMA","PLEURAL","HEMATOLOGY"
"368",50616,"RBC","PLEURAL","HEMATOLOGY"
"369",50617,"WBC","PLEURAL","HEMATOLOGY"
"370",50619,"BLOOD","STOOL","HEMATOLOGY"
"371",50620,"3PHOSPHAT","URINE","HEMATOLOGY"
"372",50622,"AMORPH","URINE","HEMATOLOGY"
"373",50099,"ETHANOL","BLOOD","CHEMISTRY"
"374",50102,"FK506","BLOOD","CHEMISTRY"
"375",50103,"FOLATE","BLOOD","CHEMISTRY"
"376",50104,"FREE T4","BLOOD","CHEMISTRY"
"377",50106,"FSH","BLOOD","CHEMISTRY"
"378",50107,"GASTRIN","BLOOD","CHEMISTRY"
"379",50109,"GGT","BLOOD","CHEMISTRY"
"380",50110,"GLIADIN","BLOOD","CHEMISTRY"
"381",50112,"GLUCOSE","BLOOD","CHEMISTRY"
"382",50115,"HAPTOGLOB","BLOOD","CHEMISTRY"
"383",50117,"HBc Ab","BLOOD","CHEMISTRY"
"384",50118,"HBs Ab","BLOOD","CHEMISTRY"
"385",50119,"HBsAg","BLOOD","CHEMISTRY"
"386",50121,"HCV Ab","BLOOD","CHEMISTRY"
"387",50122,"HDL CHOL","BLOOD","CHEMISTRY"
"388",50125,"HOMOCYSTN","BLOOD","CHEMISTRY"
"389",50127,"INDIR BIL","BLOOD","CHEMISTRY"
"390",50128,"IRON","BLOOD","CHEMISTRY"
"391",50130,"IgG","BLOOD","CHEMISTRY"
"392",50132,"IgM HAV","BLOOD","CHEMISTRY"
"393",50133,"IgM HBc","BLOOD","CHEMISTRY"
"394",50134,"LD(LDH)","BLOOD","CHEMISTRY"
"395",50135,"LDL(CALC)","BLOOD","CHEMISTRY"
"396",50001,"AADO2","BLOOD","BLOOD GAS"
"397",50002,"BASE XS","BLOOD","BLOOD GAS"
"398",50003,"CARBOXYHB","BLOOD","BLOOD GAS"
"399",50004,"CL-","BLOOD","BLOOD GAS"
"400",50006,"GLUCOSE","BLOOD","BLOOD GAS"
"401",50007,"HGB","BLOOD","BLOOD GAS"
"402",50008,"INTUBATED","BLOOD","BLOOD GAS"
"403",50009,"K+","BLOOD","BLOOD GAS"
"404",50010,"LACTATE","BLOOD","BLOOD GAS"
"405",50011,"MET HGB","BLOOD","BLOOD GAS"
"406",50012,"NA+","BLOOD","BLOOD GAS"
"407",50013,"O2","BLOOD","BLOOD GAS"
"408",50014,"O2 FLOW","BLOOD","BLOOD GAS"
"409",50015,"O2 SAT","BLOOD","BLOOD GAS"
"410",50016,"PCO2","BLOOD","BLOOD GAS"
"411",50017,"PEEP","BLOOD","BLOOD GAS"
"412",50018,"PH","BLOOD","BLOOD GAS"
"413",50019,"PO2","BLOOD","BLOOD GAS"
"414",50020,"RATES","BLOOD","BLOOD GAS"
"415",50021,"REQ O2","BLOOD","BLOOD GAS"
"416",50022,"TCO2","BLOOD","BLOOD GAS"
"417",50023,"TEMP","BLOOD","BLOOD GAS"
"418",50024,"TIDAL VOL","BLOOD","BLOOD GAS"
"419",50026,"TYPE","BLOOD","BLOOD GAS"
"420",50027,"VENT","BLOOD","BLOOD GAS"
"421",50030,"freeCa","BLOOD","BLOOD GAS"
"422",50032,"K+","OTHER BODY FLUID","BLOOD GAS"
"423",50035,"PH","OTHER BODY FLUID","BLOOD GAS"
"424",50037,"ALBUMIN","ASCITES","CHEMISTRY"
"425",50040,"CHOLEST","ASCITES","CHEMISTRY"
"426",50043,"GLUCOSE","ASCITES","CHEMISTRY"
"427",50046,"MISC","ASCITES","CHEMISTRY"
"428",50047,"OSMOLAL","ASCITES","CHEMISTRY"
"429",50049,"SODIUM","ASCITES","CHEMISTRY"
"430",50053,"UREA N","ASCITES","CHEMISTRY"
"431",50056,"ACETMNPHN","BLOOD","CHEMISTRY"
"432",50059,"AFP","BLOOD","CHEMISTRY"
"433",50063,"AMA","BLOOD","CHEMISTRY"
"434",50066,"ANA","BLOOD","CHEMISTRY"
"435",50068,"ANION GAP","BLOOD","CHEMISTRY"
"436",50070,"ANTI-TG","BLOOD","CHEMISTRY"
"437",50074,"BC Hold","BLOOD","CHEMISTRY"
"438",50075,"C3","BLOOD","CHEMISTRY"
"439",50078,"CA27.29","BLOOD","CHEMISTRY"
"440",50083,"CHLORIDE","BLOOD","CHEMISTRY"
"441",50085,"CHOLEST","BLOOD","CHEMISTRY"
"442",50089,"CORTISOL","BLOOD","CHEMISTRY"
"443",50091,"CRP","BLOOD","CHEMISTRY"
"444",50093,"CYCLSPRN","BLOOD","CHEMISTRY"
"445",50096,"DIR BILI","BLOOD","CHEMISTRY"
"446",50097,"EDTA HOLD","BLOOD","CHEMISTRY"
"447",50101,"FERRITIN","BLOOD","CHEMISTRY"
"448",50105,"FREE TEST","BLOOD","CHEMISTRY"
"449",50108,"GENTA","BLOOD","CHEMISTRY"
"450",50111,"GLOBULIN","BLOOD","CHEMISTRY"
"451",50113,"GREEN HLD","BLOOD","CHEMISTRY"
"452",50114,"GRY HOLD","BLOOD","CHEMISTRY"
"453",50116,"HAV Ab","BLOOD","CHEMISTRY"
"454",50120,"HCG","BLOOD","CHEMISTRY"
"455",50123,"HIV Ab","BLOOD","CHEMISTRY"
"456",50124,"HOLD BLUE","BLOOD","CHEMISTRY"
"457",50126,"IFE","BLOOD","CHEMISTRY"
"458",50129,"IgA","BLOOD","CHEMISTRY"
"459",50131,"IgM","BLOOD","CHEMISTRY"
"460",50136,"LDL(meas)","BLOOD","CHEMISTRY"
"461",50139,"LITHIUM","BLOOD","CHEMISTRY"
